"Keuangan - Pengajuan Bantuan Keuangan","Pengajuan Bantuan Keuangan dapat mengisi form pada sibaku.ub.ac.id"
"Keuangan - Pencairan Saldo UKT","<ol><li>Silahkan mengajukan permohonan pencairan saldo ukt dengan cara membuat surat permohonan (format bebas,rapi dan sopan) dilampiri foto/scan bukti bayar UKT semester bersangkutan serta halaman depan buku rekening. Berkas permohonan dikirim ke email <a href=""mailto:tupusatub@gmail.com"">tupusatub@gmail.com</a>"
"keuangan - cek siam untuk tagihan","Update Tagihan pada SIAM sdra, apabila Besaran Nominal sudah sesuai Pengajuan sdra silahkan segera melakukan Pembayaran"
"Keuangan - Kriteria 50%","Kriteria yang mendapat bantuan 50% adalah bagi Mahasiswa S1 dan D4 tingkat akhir yang berada pada <strong>Semester 9 (Sembilan) dan Seterusnya yang sudah menempuh sekurang - kurangnya 138 SKS serta mengambil mata kuliah kurang dari atau sama dengan 6 (enam) SKS.</strong> Berikut merupakan Ketentuan kriteria yang menjadi <strong>kesatuan </strong>(dimana Semester 9, minimal 138 sks, dan program Skirpsi), <strong>bukan hanya salah satu</strong> kriteria yang dapat dipenuhi untuk mendapat Bantuan tsb."
"Registrasi Mahasiswa Lama","Berikut kami informasikan Registrasi Mahasiswa Lama dapat dilihat <a href=""https://ub.ac.id/id/pengumuman-registrasi-mahasiswa-lama-universitas-brawijaya-semester-ganjil-2021-2022-program-diploma-sarjana-dan-pascasarjana/"">disini<br /></a> <br />"
"Keuangan - Jadwal Bantuan Keuangan","Jadwal Bantuan Keuangan Mahasiswa Lama dapat diakses <a href=""https://bantuankeuangan.ub.ac.id/"">disini</a>"
"Keuangan : Tata Cara Pembayaran","Untuk melakukan pembayaran UKT, SPP, IPI dapat dilihat pada laman <br /><a href=""https://selma.ub.ac.id/tata-cara-pembayaran/"">https://selma.ub.ac.id/tata-cara-pembayaran/</a>"
"Keuangan : Terlambat Pengajuan Bantuan Keuangan","Untuk permohonan pengurangan UKT dilakukan melalui satu pintu pada sibaku.ub.ac.id dan dikarenakan sibaku telah ditutup Saudara disilahkan mengajukan pengurangan UKT di semester berikutnya. Sedangkan untuk pengajuan angsuran disilahkan mengajukan permohonan tertulis ditujukan kepada Wakil Dekan II FILKOM UB. Untuk surat permohonan berupan surat pribadi dan tidak ada format khusus. Silahkan diajukan dengan format rapi dan sopan dan dikirim via halofilkom dengan nomor tiket yang sama.<br />Terima Kasih."
"Keuangan - Pencairan Beasiswa Kemendikbud","Silahkan membuat surat dilampiri bukti bayar dan buku hal depan rek ybs dikirim ke tupusatub@gmail.com"
"Keuangan : Tidak dapat upload Berkas Yudisium","Proses upload menunggu penerbitan SK Yudisium dengan perkiraan tanggal 16 Agustus 2021 atau lebih, mohon update dalam SIAM"
"Keuangan - Bantuan UKT dan UKT Kemendikbud Ristek","Terkait detail prosedur masih menunggu informasi lebih lanjut dari kemendikbudristek. Sampai saat ini dari Kemendikbudristek masih ada informasi berikut saja <a href=""https://www.kemdikbud.go.id/main/blog/2021/08/kemendikbudristek-lanjutkan-pemberian-bantuan-kuota-data-internet-dan-uang-kuliah-tunggal-tahun-2021"" target=""_blank"">https://www.kemdikbud.go.id/main/blog/2021/08/kemendikbudristek-lanjutkan-pemberian-bantuan-kuota-data-internet-dan-uang-kuliah-tunggal-tahun-2021</a> Harap follow media sosial filkom di IG (filkomub) dan twitter (filkomUB) untuk bisa mendapat update terbaru jika ada informasi terkait pengajuan bantuan tersebut. Terima kasih"
"Kemahasiswaan - Tahapan pendaftaran Wisuda","Berikut adalah tahapan pendaftaran wisuda FILKOM UB: 1. unggah dokumen di SIAM<br />2. mengisi gform di tautan berikut <a href=""https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"" target=""_blank"">https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/</a><br />3. verifikasi data ijazah dan transkrip ke Bpk. Joko melalui Yudisium WA Center di nomor 081132007577 (wa message only)<br />4. mengisi data tracer studi melalui *bit.ly/TracerFilkom*<br />5. setelah menyelesaikan 4 poin di atas tinggal menunggu antrian wisuda<br />informasi antrian wisuda dapat diakses di <a href=""https://filkom.ub.ac.id/kemahasiswaan/informasi-wisuda/"" target=""_blank"">https://filkom.ub.ac.id/kemahasiswaan/informasi-wisuda/</a>"
"Keuangan - Cara Daftar Bantuan Kemendikbudristek","Berikut link pengisian Permohonan Bantuan UKT KEMDIKBUDRISTEK Semester Ganjil 2021/2022 <a href=""https://bit.ly/BantUKTKemdikbudUBGanjil2021"">https://bit.ly/BantUKTKemdikbudUBGanjil2021</a> Adapun batas waktu pengisian link tersebut sampai 15 Agustus 2021, pukul 23.59 WIB."
"Keuangan - Bantuan Kemendikbud tidak terverifikasi","Sebagai informasi dari Kemahasiswaan Universitas, Bagi mahasiswa yang mendapat Bantuan Kemendikbud pada semester Ganjil 2020/2021 namun Melakukan Cuti Akademik Pada Semester Genap 2020/2021, maka Bantuan Kemendikbud tsb tidak diberikan pada yang bersangkutan. Apabila kurang jelas dapat menghubungi Kemahasiswaan Universitas."
"Keuangan - Tagihan UKT POtongan 50% Muncul Kembali","Tagihan Potongan 50% Mahasiswa Tingkat akhir yang muncul kembali merupakan tagihan yang akan dihapuskan setelah proses verifikasi dari Universitas jika anda memenuhi semua kriteria yang diberikan. <br />Silahkan cek SIAM anda secara berkala. "
"Keuangan - Sisa tagihan 50%","Tagihan yang tertera pada SIAM saat ini merupakan sisa tagihan Bantuan Potongan 50%, Proses Verifikasi oleh Universitas terkait Bantuan Potongan 50% masih berjalan sampai saat ini, apabila hasil Verifikasi sdra memenuhi Persyaratan Bantuan Potongan 50% maka tagihan tsb akan dihapuskan oleh Universitas. mohon update SIAM secara berkala dan akses informasi penting terkait Bantuan Potongan 50% yang telah tersebar luas."
"Keuangan - Angsur SAP","1. Untuk Angsuran SPP/UKT dapat diangsur sebanyak 2x dalam jangka waktu 1 Semester (Ganjil 2021/2020) 2. Untuk Angsuran SPFP dapat diangsur sebanyak 3x dalam jangka waktu 1 Semester (Ganjil 2021/2020)"
"Kemahasiswaan - KTM Tersedia","KTM Anda sudah tersedia, silahkan diambil pada hari dan jam kerja di bagian informasi gedung F lantai 1 FILKOM UB. Terima kasih "
"Kemahasiswaan- pengajuan ST Dospem dan Reward Prestasi","Bisa diajukan melalui tautan berikut <a href=""https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"">https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/</a> poin 3 layanan pengajuan reward prestasi.  Harap menyertakan dokumen pendukung sebagai berikut:<br />- form pengajuan reward dari universitas yang sudah diisi (termasuk cantumkan nama dosen pembimbingnya)<br />- sertifikat<br />- ktm<br />- proposal karya (jika ada)<br />- screenshot/ foto saat acara lomba atau pengumuman pemenang Terima kasih"
"Kemahasiswaan - KIP Kuliah","Sampai saat ini belum ada informasi terkait hal tersebut. Merujuk dari website resmi KIP-K diinformasikan bahwa Saat ini KIP-Kuliah dikhususkan untuk calon mahasiswa/lulusan SMA sederajat tahun berjalan atau lulus dua tahun sebelunya. Untuk informasi lebih lanjut tentang KIP-K dapat diakses di tautan berikut <a href=""https://kip-kuliah.kemdikbud.go.id/panduan"">https://kip-kuliah.kemdikbud.go.id/panduan</a>. Harap follow media sosial FILKOM (IG:filkomub), (Twitter:filkomUB) untuk mendapat update informasi terbaru tentang FILKOM UB. Terima kasih."
"Kemahasiswaan - Verifikasi SKM","Untuk dapat diverifikasi silahkan melakukan pengajuan melalui tautan berikut <a href=""https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"">https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/</a> Terima kasih"
"Akademik_NIP Kajur KPS TIF","Terimakasih telah menghubungi halo filkom,<br />NIP KPS TIF 198907202018031002<br />NIP Kajur TIF 197411182003121002 Terimakasih"
"Kemahasiswaan - Pengajuan ST Dosen Pembimbing Lomba","Jika sudah terlanjur tidak memiliki dosen pembimbing saat lomba, bisa pengajuan ke kemahasiswaan melalui email kemahasiswaan dengan melampirkan dokumen pendukung sbb:<br />1. KTM ketua dan anggota<br />2. sertifikat<br />3. proposal karya (jika ada)<br />4. dokumentasi saat lomba (foto/screenshot saat lomba/saat serah terima penghargaan)<br /> Tapi harap disampaikan untuk selanjutnya saat mengikuti lomba bisa mencari dosen pembimbing terlebih dahulu. Terima kasih "
"Kemahasiswaan - Rekomendasi Magang dan MBKM","Sehubungan dengan pengajuan surat rekomendasi/pengantar magang saat ini sudah ditandatangani oleh bagian Merdeka Belajar - Kampus Merdeka (MBKM).  Cara pengajuannya dengan mengisi permohonan surat rekomendasi di <a href=""https://s.ub.ac.id/2n"">https://s.ub.ac.id/2n</a> dan menghubungi ibu Nesti staf MBKM di nomor 081132007588. Saat ini bagian kemahasiswaan hanya menangani surat pengantar/rekomendasi beasiswa dan lomba.  Terima kasih "
"Akademik : Presensi Perkuliahan","Terima kasih telah menghubungi Halo Filkom,<br />Terkait presensi perkuliahan tidak hadir (sakit,ijin,kep lain ) bisa menghubungi bagian pengajaran Filkom : Bapak Redi (085646667788)/ Bapak David ( 082143159727) dengan melampirkan :<br />- Surat ijin tidak masuk dari mahasiswa<br />- Surat keterangan tambahan misal : surat dokter, surat kegiatan resmi kemahasiswaan, dll Hari kerja aktif (Senin s/d Jumat) Pukul 08:00 s/d 15:00"
"Akademik : Pengambilan Sertifikat TOEFL","Terimakasih telah menghubungi halo filkom, untuk informasi pengambilan sertifikat toefl bisa akses link berikut : <a href=""https://filkom.ub.ac.id/2020/07/22/informasi-pengambilan-sertifikat-toefl/"" target=""_blank"">https://filkom.ub.ac.id/2020/07/22/informasi-pengambilan-sertifikat-toefl/</a> Terima Kasih"
"Akademik : Surat Pengantar Penelitian Skripsi","Terimakasih telah menghubungi halo filkom,<br />Pembuatan Surat Pengantar Penelitian Skripsi bisa akses link berikut : <a href=""https://bit.ly/SuratPengantarPengambilanDataSkripsiTesisFilkom"" target=""_blank"">https://bit.ly/SuratPengantarPengambilanDataSkripsiTesisFilkom</a><br />Terima Kasih"
"Akademik : Surat Aktif Kuliah","Terimakasih telah menghubungi halo filkom,<br />Untuk pengajuan Surat Aktif Kuliah bisa mengakses link berikut : <a href=""https://bit.ly/SuratAktifKuliahFilkom"" target=""_blank"">https://bit.ly/SuratAktifKuliahFilkom</a> Terima Kasih"
"Akademik : Perihal Kehilangan Transkrip Nilai Kuliah","Berikut proses yang diperlukan mahasiswa jika kehilangan transkrip nilai kuliah : 1. Membuat surat permohonan kepada wakil dekan bidang akademik filkom perihal Surat Keterangan Pengganti Transkrip Nilai<br />2. Surat kehilangan dari pihak kepolisian<br />3. Scan transkrip nilai<br />4. Softfile foto 3x4 dengan resolusi tinggi (harus sama seperti yang tertempel di ijazah/transkrip)<br />5. Point 1 sampai 4 dikirim dalam format pdf ke email : <a href=""mailto:akademikfilkom@ub.ac.id"" target=""_blank"">akademikfilkom@ub.ac.id</a> Terima Kasih"
"Akademik : Layanan Akademik","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan link layanan akademik FILKOM UB <br /><a href=""https://filkom.ub.ac.id/pendidikan/layanan-akademik-filkom-ub/"" target=""_blank"">https://filkom.ub.ac.id/pendidikan/layanan-akademik-filkom-ub/</a> Terimakasih"
"Akademik_Proposal Skripsi di luar Jadwal (J-TIF)","Terimakasih telah menghubungi halo filkom,<br />Pengajuan proposal skripsi di luar jadwal yang ada pada filkom apps pada lingkungan JTIF (TIF dan Tekom), mahasiswa bisa mengajukan pembukaan akses terbatas kepada dosen pembimbing dengan baik dan sopan agar bisa diteruskan oleh dosen pembimbing kepada Ketua Jurusan TIF Terimakasih"
"Akademik_Peminjaman Fasilitas Lab","Terimakasih telah menghubungi halo filkom,<br />Bagi mahasiswa yang mengajukan peminjaman fasilitas Lab bisa mengajukan kepada KaLab dengan persetujuan dosen pembimbing. Terimakasih"
"Akademik_Konversi MK perpindahan prodi","Terimakasih telah menghubungi halo filkom,<br />Sesuai arahan dari pimpinan JTIF, MK wajib dengan kode yang berbeda maka secara otomatis konten nya berbeda, maka mahasiswa tetap menempuh MK wajib tersebut sebagai konsekuensi perpindahan prodi Terimakasih"
"Akademik_Foto Yudisium SC2-18","Terimakasih telah menghubungi halofilkom, <br />- setelah upload foto &amp; KTM pada folder drive, mahasiswa diharapkan tetap mengumpulkan pada filkom lt1 dg memberikan konfirmasi kepada WA center Yudisium<br />- progres yudisium view_mhs FILKOM bisa dilihat pada :<a href=""https://docs.google.com/spreadsheets/d/1nWPCbAI-rnqGNcyLXf8BDk2p5wFHZicmNyjc4ELNCWM/edit?resourcekey&amp;pli=1#gid=1724341464"" target=""_blank"">https://docs.google.com/spreadsheets/d/1nWPCbAI-rnqGNcyLXf8BDk2p5wFHZicmNyjc4ELNCWM/edit?resourcekey&amp;pli=1#gid=1724341464</a> Pengajuan yudisium FILKOM : <br /><a href=""https://docs.google.com/forms/d/18TAxwwMnGuyOrPkDFUz_aopslsVIfKw7vaoCmiMtdQs/viewform?edit_requested=true"" target=""_blank"">https://docs.google.com/forms/d/18TAxwwMnGuyOrPkDFUz_aopslsVIfKw7vaoCmiMtdQs/viewform?edit_requested=true</a> Terimakasih"
"Akademik_Kontak HP Daring KPS TIF & Tekom","Terimakasih telah menghubungi halo filkom,<br />Berikut kami sampaikan no HP Daring KPS pada lingkungan JTIF ;<br />KPS TIF ; 082232641423 (Aditya Bhawiyuga)<br />KPS Tekom ;  085608568510 (Eko Setiawan) Terimakasih"
"Akademik_Pembatalan MK PKL/ Skripsi","Terimakasih telah menghubungi halo filkom,<br />Mahasiswa yang tidak jadi menempuh MK PKL ataupun Skripsi pada SIAM, mahasiswa tetap diperkenankan dengan syarat tidak ada aktivitas PKL/ Skripsi pada semester berjalan (Filkom apps/ skripsi dan PKL) Terimakasih"
"Akademik_Syarat Menempuh MK Lintas Prodi","Terimakasih telah menghubungi halo filkom,<br /> Mahasiswa diijinkan mengambil MK lintas prodi selama dibuka oleh prodi lain (terutama MKU), kebetulan MK kewarganegaraan dibuka maka mhs dipersilahkan mengambil KRS MK tsb pada saat KRS-an ataupun batal tambah (jika terlambat KRS-an)<br />Terimakasih"
"Akademik_Perpindahan Prodi Akreditasi B ke A","Terimakasih telah menghubungi halo filkom,<br />Menyampaikan jawaban dari KPS prodi Sistem Informasi Filkom UB, bahwa mhs ybs tidak diperkenankan melakukan perpindahan prodi ke Sistem Informasi. Perihal yang menyebabkan tidak disetujuinya mhs dalam perpindahan prodi sesuai keterangan pada poin 4 hal 29 Buku Pedoman Akademik FILKOM UB.<br />Berikut kami lampirkan link Buku Pedoman Akademik FILKOM UB terkait Perpindahan Prodi (hal 29) : <a href=""https://filkom.ub.ac.id/profil/dokumen-resmi/"" target=""_blank"">Dokumen Resmi » Fakultas Ilmu Komputer | Universitas Brawijaya (ub.ac.id)</a> Terimakasih"
"Akademik_Perubahan Judul Skripsi Filkom Apps","Terimakasih telah menghubungi halo filkom,<br />Perubahan judul skripsi pada filkom apps bisa dirubah selama belum P2 oleh dosen pembimbing, setelah proses P2 mahasiswa tetap bisa merubah judul pada filkom apps pada saat mendaftar semhas skripsi dan upload dokumen akhir pasca Ujian Skripsi Terimakasih"
"Akademik : Alur Get NIM Mahasiswa FILKOM UB","Terimakasih telah menghubungi halo filkom,<br />Masuk ke info pin (<a href=""https://siam.ub.ac.id/getpin.php"" target=""_blank"">https://siam.ub.ac.id/getpin.php</a>) Masukkan nomor kode pendaftaran pada kolom Nomor Peserta Ujian Masuk dan masukkan tanggal pembayaran, kemudian selesaikan pertanyaan penjumlahan matematis di bawahnya, kemudian klik cari Akan muncul data peserta dan PIN untuk login ke siam Kembali ke <a href=""https://siam.ub.ac.id/"" target=""_blank"">https://siam.ub.ac.id/</a> Gunakan nomor kode pendaftaran di kolom NIM dan PIN di kolom kata sandi, dan klik Masuk Setelah login, Anda akan mendapatkan nomor NIM dan password, namun password ini harus diaktifkan dulu sebelum digunakan Masuk ke <a href=""https://bais.ub.ac.id/"" target=""_blank"">https://bais.ub.ac.id</a>, gunakan nomor NIM dan password yang baru Anda dapatkan Akan muncul kolom-kolom isian untuk aktivasi, isikan email Anda yang biasa digunakan, dan isikan password baru yang bisa Anda ingat, kemudian klik simpan Setelah selesai, logout dari <a href=""https://bais.ub.ac.id/"" target=""_blank"">https://bais.ub.ac.id</a> Kembali ke <a href=""https://siam.ub.ac.id/"" target=""_blank"">https://siam.ub.ac.id</a> Gunakan nomor NIM dan password yang baru Anda isikan di BAIS untuk masuk ke SIAM Harap simpan baik-baik NIM dan password tersebut karena Anda akan terus menggunakannya. Terimakasih"
"Akademik_Prosedur Buka Blokir telat pembayaran & Pengajuan Validasi di luar jadwal","Terimakasih telah menghubungi halo filkom,<br />1. berikut kami kirimkan link prosedur buka blokir terlambat pembayaran poin B<a href=""https://filkom.ub.ac.id/2020/08/18/prosedur-daftar-ulang-mahasiswa-dengan-evaluasi-studi-dan-terlambat-melaksanakan-pembayaran-filkom-ub/"" target=""_blank"">Prosedur Daftar Ulang Mahasiswa dengan Evaluasi Studi dan Terlambat Melaksanakan Pembayaran FILKOM UB » Fakultas Ilmu Komputer | Universitas Brawijaya</a> 2. Berikut kami lampirkan link pengumuman pengajuan validasi dikarenakan terlambat (per 20 Agustus 2021) :<br /><a href=""https://filkom.ub.ac.id/2021/08/21/pengajuan-validasi-untuk-krs-dengan-status-belum-disetujui/"" target=""_blank"">https://filkom.ub.ac.id/2021/08/21/pengajuan-validasi-untuk-krs-dengan-status-belum-disetujui/<br /></a> Mhs tetap mengisi form yg mana ada ttd dosen PA sesuai Form Terimakasih"
"Akademik_Penambahan SKS melebihi batas maksimum MK dari IP Beban (JTIF)","Terimakasih telah menghubungi halo filkom,<br />Berdasar arahan Kaprodi TIF, untuk pengajuan penambahan SKS di luar batas IP Beban adalah Dosen PA menyampaikan kepada KPS.<br />Tugas mahasiswa menginfokan kepada Dosen PA dengan baik dan sopan. Terimakasih"
"Akademik_Validasi dosen PA pada KRS SIAM mahasiswa (masih dalam jadwal)","Terimakasih telah menghubungi halo filkom,<br />MK .... sudah kami masukkan ke SIAM mhs, untuk validasi dosen PA wajib mengajukan sesuai pengumuman pada web filkom<br /><a href=""https://filkom.ub.ac.id/2021/08/21/pengajuan-validasi-untuk-krs-dengan-status-belum-disetujui/"" target=""_blank"">Pengajuan validasi untuk KRS dengan status belum disetujui » Fakultas Ilmu Komputer | Universitas Brawijaya (ub.ac.id)</a> Terimakasih"
"Akademik_Proses sertifikasi IT belum ada jawaban","Terimakasih telah menghubungi halo filkom,<br />Untuk isu seperti di atas bisa mengisi pada Halo SELMA UB jika pada link sertifikasi IT (<a href=""https://sertifikasi.ub.ac.id/"" target=""_blank"">https://sertifikasi.ub.ac.id/</a>) belum menemukan jawaban. Terimakasih"
"Akademik_Prasyarat perpindahan stream/ keminatan","Terimakasih telah menghubungi halo filkom,<br />Sesuai arahan KPS TIF, ""Tidak ada prosedur untuk berpindah stream/keminatan asalkan mampu mengerjakan skripsi sesuai dengan kelayakan dan kecukupan. Silakan bisa kontak ke calon dosen pembimbing di keminatan baru.<br /> Terimakasih"
"Akademik_Pengajuan proposal skripsi di luar jadwal (JTIF)","Terimakasih telah menghubungi halo filkom,<br />Sesuai arahan Kajur TIF, Mahasiswa bisa melakukan pengajuan mandiri melalui dosen pembimbing agar bisa tersampaikan kepada Kajur Terimakasih"
"Akademik_Dosen Pembimbing Ujian Skripsi tidak hadir salah satu","Terimakasih telah menghubungi halo filkom,<br />Untuk pelaksanaan Ujian Skripsi tetap bisa dilaksanakan hanya dengan salah satu dosen pembimbing, tetapi kedua dosen penguji wajib hadir. Bagi dosen pembimbing yg tidak hadir masih tetap bisa mengisi penilaian pada filkom apps. Terimakasih"
"Akademik_Pengajuan Pra-Proposal terkendala","Terimakasih telah menghubungi halo filkom,<br />Sesuai arahan pimpinan JTIF, mahasiswa tetap bisa mengajukan pra proposal skripsi (melalui akun yg gagal sebelumnya) dan proposal (mhs mengajukan ke pembimbing agar pembimbing bisa mengajukan kepada ketua jurusan) Terimakasih"
"Akademik_Tombol ""revisi proposal"" skripsi pada filkom apps","Terimakasih telah menghubungi halo filkom,<br />Silahkan tekan tombol ""lakukan revisi"" warna merah dan ikuti petunjuk berikutnya untuk upload revisi Terimakasih"
"Akademik : Kuota Paket Data","Proses pendaftaran mahasiswa baru/ lama  ke PD DIKTI masih berjalan dan tidak otomatis semua terinput di Sistem sehingga nomor Saudara masih belum mendapat paket Data pada bulan September dan Oktober ini, Kami akan pastikan data saudara terupdate di PD DIKTI sebagai dasar mendapatkan Paket Data pada bulan berikutnya. Terimakasih"
"Akademik : SKL & Transkrip","Terimakasih telah menghubungi halo filkom,<br />Untuk SKL bisa menghubungi WA center Yudisium (081132007577), untuk transkrip bisa input dilink berikut : <a href=""https://bit.ly/TranskripNilaiFilkom"" target=""_blank"">https://bit.ly/TranskripNilaiFilkom</a> (untuk transkrip sementara selama pandemi covid kami kirim melalui email) Terima Kasih"
